latitude,longitude,number,tp_mm,month
28.3,76.9,0,0.0,2023-05
28.3,77.0,0,0.0,2023-05
28.3,77.1,0,0.0,2023-05
28.3,77.2,0,0.0,2023-05
28.3,77.3,0,0.0,2023-05
28.3,77.5,0,0.0,2023-05
28.3,76.7,0,0.0,2023-05
28.3,76.8,0,0.0,2023-05
28.3,76.8,0,0.0,2023-05
28.3,76.9,0,0.0,2023-05
28.3,77.0,0,0.0,2023-05
28.3,77.1,0,0.0,2023-05
28.3,77.2,0,0.0,2023-05
28.3,77.3,0,0.0,2023-05
28.3,77.5,0,0.0,2023-05
29.0,76.7,0,0.0,2023-06
29.0,76.8,0,0.0,2023-06
29.0,76.8,0,0.0,2023-06
29.0,76.9,0,0.0,2023-06
29.0,77.0,0,0.0,2023-06
29.0,77.1,0,0.0,2023-06
29.0,77.2,0,0.0,2023-06
29.0,77.3,0,0.0,2023-06
29.0,77.5,0,0.0,2023-06
28.9,76.7,0,0.0,2023-06
28.9,76.8,0,0.0,2023-06
28.9,76.8,0,0.0,2023-06
28.9,76.9,0,0.0,2023-06
28.9,77.0,0,0.0,2023-06
28.9,77.1,0,0.0,2023-06
28.9,77.2,0,0.0,2023-06
28.9,77.3,0,0.0,2023-06
28.9,77.5,0,0.0,2023-06
28.8,76.7,0,0.0,2023-06
28.8,76.8,0,0.0,2023-06
28.8,76.8,0,0.0,2023-06
28.8,76.9,0,0.0,2023-06
28.8,77.0,0,0.0,2023-06
28.8,77.1,0,0.0,2023-06
28.8,77.2,0,0.0,2023-06
28.8,77.3,0,0.0,2023-06
28.8,77.5,0,0.0,2023-06
28.7,76.7,0,0.0,2023-06
28.7,76.8,0,0.0,2023-06
28.7,76.8,0,0.0,2023-06
28.7,76.9,0,0.0,2023-06
28.7,77.0,0,0.0,2023-06
28.7,77.1,0,0.0,2023-06
28.7,77.2,0,0.0,2023-06
28.7,77.3,0,0.0,2023-06
28.7,77.5,0,0.0,2023-06
28.5,76.7,0,0.0,2023-06
28.5,76.8,0,0.0,2023-06
28.5,76.8,0,0.0,2023-06
28.5,76.9,0,0.0,2023-06
28.5,77.0,0,0.0,2023-06
28.5,77.1,0,0.0,2023-06
28.5,77.2,0,0.0,2023-06
28.5,77.3,0,0.0,2023-06
28.5,77.5,0,0.0,2023-06
28.4,76.7,0,0.0,2023-06
28.4,76.8,0,0.0,2023-06
28.4,76.8,0,0.0,2023-06
28.4,76.9,0,0.0,2023-06
28.4,77.0,0,0.0,2023-06
28.4,77.1,0,0.0,2023-06
28.4,77.2,0,0.0,2023-06
28.4,77.3,0,0.0,2023-06
28.4,77.5,0,0.0,2023-06
28.3,76.7,0,0.0,2023-06
28.3,76.8,0,0.0,2023-06
28.3,76.8,0,0.0,2023-06
28.3,76.9,0,0.0,2023-06
28.3,77.0,0,0.0,2023-06
28.3,77.1,0,0.0,2023-06
28.3,77.2,0,0.0,2023-06
28.3,77.3,0,0.0,2023-06
28.3,77.5,0,0.0,2023-06
28.3,76.7,0,0.0,2023-06
28.3,76.8,0,0.0,2023-06
28.3,76.8,0,0.0,2023-06
28.3,76.9,0,0.0,2023-06
28.3,77.0,0,0.0,2023-06
28.3,77.1,0,0.0,2023-06
28.3,77.2,0,0.0,2023-06
28.3,77.3,0,0.0,2023-06
28.3,77.5,0,0.0,2023-06
29.0,76.7,0,0.0,2023-07
29.0,76.8,0,0.0,2023-07
29.0,76.8,0,0.0,2023-07
29.0,76.9,0,0.0,2023-07
29.0,77.0,0,0.0,2023-07
29.0,77.1,0,0.0,2023-07
29.0,77.2,0,0.0,2023-07
29.0,77.3,0,0.0,2023-07
29.0,77.5,0,0.0,2023-07
28.9,76.7,0,0.0,2023-07
28.9,76.8,0,0.0,2023-07
28.9,76.8,0,0.0,2023-07
28.9,76.9,0,0.0,2023-07
28.9,77.0,0,0.0,2023-07
28.9,77.1,0,0.0,2023-07
28.9,77.2,0,0.0,2023-07
28.9,77.3,0,0.0,2023-07
28.9,77.5,0,0.0,2023-07
28.8,76.7,0,0.0,2023-07
28.8,76.8,0,0.0,2023-07
28.8,76.8,0,0.0,2023-07
28.8,76.9,0,0.0,2023-07
28.8,77.0,0,0.0,2023-07
28.8,77.1,0,0.0,2023-07
28.8,77.2,0,0.0,2023-07
28.8,77.3,0,0.0,2023-07
28.8,77.5,0,0.0,2023-07
28.7,76.7,0,0.0,2023-07
28.7,76.8,0,0.0,2023-07
28.7,76.8,0,0.0,2023-07
28.7,76.9,0,0.0,2023-07
28.7,77.0,0,0.0,2023-07
28.7,77.1,0,0.0,2023-07
28.7,77.2,0,0.0,2023-07
28.7,77.3,0,0.0,2023-07
28.7,77.5,0,0.0,2023-07
28.5,76.7,0,0.0,2023-07
28.5,76.8,0,0.0,2023-07
28.5,76.8,0,0.0,2023-07
28.5,76.9,0,0.0,2023-07
28.5,77.0,0,0.0,2023-07
28.5,77.1,0,0.0,2023-07
28.5,77.2,0,0.0,2023-07
28.5,77.3,0,0.0,2023-07
28.5,77.5,0,0.0,2023-07
28.4,76.7,0,0.0,2023-07
28.4,76.8,0,0.0,2023-07
28.4,76.8,0,0.0,2023-07
28.4,76.9,0,0.0,2023-07
28.4,77.0,0,0.0,2023-07
28.4,77.1,0,0.0,2023-07
28.4,77.2,0,0.0,2023-07
28.4,77.3,0,0.0,2023-07
28.4,77.5,0,0.0,2023-07
28.3,76.7,0,0.0,2023-07
28.3,76.8,0,0.0,2023-07
28.3,76.8,0,0.0,2023-07
28.3,76.9,0,0.0,2023-07
28.3,77.0,0,0.0,2023-07
28.3,77.1,0,0.0,2023-07
28.3,77.2,0,0.01,2023-07
28.3,77.3,0,0.01,2023-07
28.3,77.5,0,0.01,2023-07
28.3,76.7,0,0.0,2023-07
28.3,76.8,0,0.0,2023-07
28.3,76.8,0,0.0,2023-07
28.3,76.9,0,0.0,2023-07
28.3,77.0,0,0.0,2023-07
28.3,77.1,0,0.01,2023-07
28.3,77.2,0,0.01,2023-07
28.3,77.3,0,0.01,2023-07
28.3,77.5,0,0.01,2023-07
29.0,76.7,0,0.0,2023-08
29.0,76.8,0,0.0,2023-08
29.0,76.8,0,0.0,2023-08
29.0,76.9,0,0.0,2023-08
29.0,77.0,0,0.0,2023-08
29.0,77.1,0,0.0,2023-08
29.0,77.2,0,0.0,2023-08
29.0,77.3,0,0.0,2023-08
29.0,77.5,0,0.0,2023-08
28.9,76.7,0,0.0,2023-08
28.9,76.8,0,0.0,2023-08
28.9,76.8,0,0.0,2023-08
28.9,76.9,0,0.0,2023-08
28.9,77.0,0,0.0,2023-08
28.9,77.1,0,0.0,2023-08
28.9,77.2,0,0.0,2023-08
28.9,77.3,0,0.0,2023-08
28.9,77.5,0,0.0,2023-08
28.8,76.7,0,0.0,2023-08
28.8,76.8,0,0.0,2023-08
28.8,76.8,0,0.0,2023-08
28.8,76.9,0,0.0,2023-08
28.8,77.0,0,0.0,2023-08
28.8,77.1,0,0.0,2023-08
28.8,77.2,0,0.0,2023-08
28.8,77.3,0,0.0,2023-08
28.8,77.5,0,0.0,2023-08
28.7,76.7,0,0.0,2023-08
28.7,76.8,0,0.0,2023-08
28.7,76.8,0,0.0,2023-08
28.7,76.9,0,0.0,2023-08
28.7,77.0,0,0.0,2023-08
28.7,77.1,0,0.0,2023-08
28.7,77.2,0,0.0,2023-08
28.7,77.3,0,0.0,2023-08
28.7,77.5,0,0.0,2023-08
28.5,76.7,0,0.0,2023-08
28.5,76.8,0,0.0,2023-08
28.5,76.8,0,0.0,2023-08
28.5,76.9,0,0.0,2023-08
28.5,77.0,0,0.0,2023-08
28.5,77.1,0,0.0,2023-08
28.5,77.2,0,0.0,2023-08
28.5,77.3,0,0.0,2023-08
28.5,77.5,0,0.0,2023-08
28.4,76.7,0,0.0,2023-08
28.4,76.8,0,0.0,2023-08
28.4,76.8,0,0.0,2023-08
28.4,76.9,0,0.0,2023-08
28.4,77.0,0,0.0,2023-08
28.4,77.1,0,0.0,2023-08
28.4,77.2,0,0.0,2023-08
28.4,77.3,0,0.0,2023-08
28.4,77.5,0,0.0,2023-08
28.3,76.7,0,0.0,2023-08
28.3,76.8,0,0.0,2023-08
28.3,76.8,0,0.0,2023-08
28.3,76.9,0,0.0,2023-08
28.3,77.0,0,0.0,2023-08
28.3,77.1,0,0.0,2023-08
28.3,77.2,0,0.0,2023-08
28.3,77.3,0,0.0,2023-08
28.3,77.5,0,0.0,2023-08
28.3,76.7,0,0.0,2023-08
28.3,76.8,0,0.0,2023-08
28.3,76.8,0,0.0,2023-08
28.3,76.9,0,0.0,2023-08
28.3,77.0,0,0.0,2023-08
28.3,77.1,0,0.0,2023-08
28.3,77.2,0,0.0,2023-08
28.3,77.3,0,0.0,2023-08
28.3,77.5,0,0.0,2023-08
29.0,76.7,0,0.0,2023-09
29.0,76.8,0,0.0,2023-09
29.0,76.8,0,0.0,2023-09
29.0,76.9,0,0.0,2023-09
29.0,77.0,0,0.0,2023-09
29.0,77.1,0,0.0,2023-09
29.0,77.2,0,0.0,2023-09
29.0,77.3,0,0.0,2023-09
29.0,77.5,0,0.0,2023-09
28.9,76.7,0,0.0,2023-09
28.9,76.8,0,0.0,2023-09
28.9,76.8,0,0.0,2023-09
28.9,76.9,0,0.0,2023-09
28.9,77.0,0,0.0,2023-09
28.9,77.1,0,0.0,2023-09
28.9,77.2,0,0.0,2023-09
28.9,77.3,0,0.0,2023-09
28.9,77.5,0,0.0,2023-09
28.8,76.7,0,0.0,2023-09
28.8,76.8,0,0.0,2023-09
28.8,76.8,0,0.0,2023-09
28.8,76.9,0,0.0,2023-09
28.8,77.0,0,0.0,2023-09
28.8,77.1,0,0.0,2023-09
28.8,77.2,0,0.0,2023-09
28.8,77.3,0,0.0,2023-09
28.8,77.5,0,0.0,2023-09
28.7,76.7,0,0.0,2023-09
28.7,76.8,0,0.0,2023-09
28.7,76.8,0,0.0,2023-09
28.7,76.9,0,0.0,2023-09
28.7,77.0,0,0.0,2023-09
28.7,77.1,0,0.0,2023-09
28.7,77.2,0,0.0,2023-09
28.7,77.3,0,0.0,2023-09
28.7,77.5,0,0.0,2023-09
28.5,76.7,0,0.0,2023-09
28.5,76.8,0,0.0,2023-09
28.5,76.8,0,0.0,2023-09
28.5,76.9,0,0.0,2023-09
28.5,77.0,0,0.0,2023-09
28.5,77.1,0,0.0,2023-09
28.5,77.2,0,0.0,2023-09
28.5,77.3,0,0.0,2023-09
28.5,77.5,0,0.0,2023-09
28.4,76.7,0,0.0,2023-09
28.4,76.8,0,0.0,2023-09
28.4,76.8,0,0.0,2023-09
28.4,76.9,0,0.0,2023-09
28.4,77.0,0,0.0,2023-09
28.4,77.1,0,0.0,2023-09
28.4,77.2,0,0.0,2023-09
28.4,77.3,0,0.0,2023-09
28.4,77.5,0,0.0,2023-09
28.3,76.7,0,0.0,2023-09
28.3,76.8,0,0.0,2023-09
28.3,76.8,0,0.0,2023-09
28.3,76.9,0,0.0,2023-09
28.3,77.0,0,0.0,2023-09
28.3,77.1,0,0.0,2023-09
28.3,77.2,0,0.0,2023-09
28.3,77.3,0,0.0,2023-09
28.3,77.5,0,0.0,2023-09
28.3,76.7,0,0.0,2023-09
28.3,76.8,0,0.0,2023-09
28.3,76.8,0,0.0,2023-09
28.3,76.9,0,0.0,2023-09
28.3,77.0,0,0.0,2023-09
28.3,77.1,0,0.0,2023-09
28.3,77.2,0,0.0,2023-09
28.3,77.3,0,0.0,2023-09
28.3,77.5,0,0.0,2023-09
29.0,76.7,0,0.0,2023-10
29.0,76.8,0,0.0,2023-10
29.0,76.8,0,0.0,2023-10
29.0,76.9,0,0.0,2023-10
29.0,77.0,0,0.0,2023-10
29.0,77.1,0,0.0,2023-10
29.0,77.2,0,0.0,2023-10
29.0,77.3,0,0.0,2023-10
29.0,77.5,0,0.0,2023-10
28.9,76.7,0,0.0,2023-10
28.9,76.8,0,0.0,2023-10
28.9,76.8,0,0.0,2023-10
28.9,76.9,0,0.0,2023-10
28.9,77.0,0,0.0,2023-10
28.9,77.1,0,0.0,2023-10
28.9,77.2,0,0.0,2023-10
28.9,77.3,0,0.0,2023-10
28.9,77.5,0,0.0,2023-10
28.8,76.7,0,0.0,2023-10
28.8,76.8,0,0.0,2023-10
28.8,76.8,0,0.0,2023-10
28.8,76.9,0,0.0,2023-10
28.8,77.0,0,0.0,2023-10
28.8,77.1,0,0.0,2023-10
28.8,77.2,0,0.0,2023-10
28.8,77.3,0,0.0,2023-10
28.8,77.5,0,0.0,2023-10
28.7,76.7,0,0.0,2023-10
28.7,76.8,0,0.0,2023-10
28.7,76.8,0,0.0,2023-10
28.7,76.9,0,0.0,2023-10
28.7,77.0,0,0.0,2023-10
28.7,77.1,0,0.0,2023-10
28.7,77.2,0,0.0,2023-10
28.7,77.3,0,0.0,2023-10
28.7,77.5,0,0.0,2023-10
28.5,76.7,0,0.0,2023-10
28.5,76.8,0,0.0,2023-10
28.5,76.8,0,0.0,2023-10
28.5,76.9,0,0.0,2023-10
28.5,77.0,0,0.0,2023-10
28.5,77.1,0,0.0,2023-10
28.5,77.2,0,0.0,2023-10
28.5,77.3,0,0.0,2023-10
28.5,77.5,0,0.0,2023-10
28.4,76.7,0,0.0,2023-10
28.4,76.8,0,0.0,2023-10
28.4,76.8,0,0.0,2023-10
28.4,76.9,0,0.0,2023-10
28.4,77.0,0,0.0,2023-10
28.4,77.1,0,0.0,2023-10
28.4,77.2,0,0.0,2023-10
28.4,77.3,0,0.0,2023-10
28.4,77.5,0,0.0,2023-10
28.3,76.7,0,0.0,2023-10
28.3,76.8,0,0.0,2023-10
28.3,76.8,0,0.0,2023-10
28.3,76.9,0,0.0,2023-10
28.3,77.0,0,0.0,2023-10
28.3,77.1,0,0.0,2023-10
28.3,77.2,0,0.0,2023-10
28.3,77.3,0,0.0,2023-10
28.3,77.5,0,0.0,2023-10
28.3,76.7,0,0.0,2023-10
28.3,76.8,0,0.0,2023-10
28.3,76.8,0,0.0,2023-10
28.3,76.9,0,0.0,2023-10
28.3,77.0,0,0.0,2023-10
28.3,77.1,0,0.0,2023-10
28.3,77.2,0,0.0,2023-10
28.3,77.3,0,0.0,2023-10
28.3,77.5,0,0.0,2023-10
29.0,76.7,0,0.0,2023-11
29.0,76.8,0,0.0,2023-11
29.0,76.8,0,0.0,2023-11
29.0,76.9,0,0.0,2023-11
29.0,77.0,0,0.0,2023-11
29.0,77.1,0,0.0,2023-11
29.0,77.2,0,0.0,2023-11
29.0,77.3,0,0.0,2023-11
29.0,77.5,0,0.0,2023-11
28.9,76.7,0,0.0,2023-11
28.9,76.8,0,0.0,2023-11
28.9,76.8,0,0.0,2023-11
28.9,76.9,0,0.0,2023-11
28.9,77.0,0,0.0,2023-11
28.9,77.1,0,0.0,2023-11
28.9,77.2,0,0.0,2023-11
28.9,77.3,0,0.0,2023-11
28.9,77.5,0,0.0,2023-11
28.8,76.7,0,0.0,2023-11
28.8,76.8,0,0.0,2023-11
28.8,76.8,0,0.0,2023-11
28.8,76.9,0,0.0,2023-11
28.8,77.0,0,0.0,2023-11
28.8,77.1,0,0.0,2023-11
28.8,77.2,0,0.0,2023-11
28.8,77.3,0,0.0,2023-11
28.8,77.5,0,0.0,2023-11
28.7,76.7,0,0.0,2023-11
28.7,76.8,0,0.0,2023-11
28.7,76.8,0,0.0,2023-11
28.7,76.9,0,0.0,2023-11
28.7,77.0,0,0.0,2023-11
28.7,77.1,0,0.0,2023-11
28.7,77.2,0,0.0,2023-11
28.7,77.3,0,0.0,2023-11
28.7,77.5,0,0.0,2023-11
28.5,76.7,0,0.0,2023-11
28.5,76.8,0,0.0,2023-11
28.5,76.8,0,0.0,2023-11
28.5,76.9,0,0.0,2023-11
28.5,77.0,0,0.0,2023-11
28.5,77.1,0,0.0,2023-11
28.5,77.2,0,0.0,2023-11
28.5,77.3,0,0.0,2023-11
28.5,77.5,0,0.0,2023-11
28.4,76.7,0,0.0,2023-11
28.4,76.8,0,0.0,2023-11
28.4,76.8,0,0.0,2023-11
28.4,76.9,0,0.0,2023-11
28.4,77.0,0,0.0,2023-11
28.4,77.1,0,0.0,2023-11
28.4,77.2,0,0.0,2023-11
28.4,77.3,0,0.0,2023-11
28.4,77.5,0,0.0,2023-11
28.3,76.7,0,0.0,2023-11
28.3,76.8,0,0.0,2023-11
28.3,76.8,0,0.0,2023-11
28.3,76.9,0,0.0,2023-11
28.3,77.0,0,0.0,2023-11
28.3,77.1,0,0.0,2023-11
28.3,77.2,0,0.0,2023-11
28.3,77.3,0,0.0,2023-11
28.3,77.5,0,0.0,2023-11
28.3,76.7,0,0.0,2023-11
28.3,76.8,0,0.0,2023-11
28.3,76.8,0,0.0,2023-11
28.3,76.9,0,0.0,2023-11
28.3,77.0,0,0.0,2023-11
28.3,77.1,0,0.0,2023-11
28.3,77.2,0,0.0,2023-11
28.3,77.3,0,0.0,2023-11
28.3,77.5,0,0.0,2023-11
29.0,76.7,0,0.0,2023-12
29.0,76.8,0,0.0,2023-12
29.0,76.8,0,0.0,2023-12
29.0,76.9,0,0.0,2023-12
29.0,77.0,0,0.0,2023-12
29.0,77.1,0,0.0,2023-12
29.0,77.2,0,0.0,2023-12
29.0,77.3,0,0.0,2023-12
29.0,77.5,0,0.0,2023-12
28.9,76.7,0,0.0,2023-12
28.9,76.8,0,0.0,2023-12
28.9,76.8,0,0.0,2023-12
28.9,76.9,0,0.0,2023-12
28.9,77.0,0,0.0,2023-12
28.9,77.1,0,0.0,2023-12
28.9,77.2,0,0.0,2023-12
28.9,77.3,0,0.0,2023-12
28.9,77.5,0,0.0,2023-12
28.8,76.7,0,0.0,2023-12
28.8,76.8,0,0.0,2023-12
28.8,76.8,0,0.0,2023-12
28.8,76.9,0,0.0,2023-12
28.8,77.0,0,0.0,2023-12
28.8,77.1,0,0.0,2023-12
28.8,77.2,0,0.0,2023-12
28.8,77.3,0,0.0,2023-12
28.8,77.5,0,0.0,2023-12
28.7,76.7,0,0.0,2023-12
28.7,76.8,0,0.0,2023-12
28.7,76.8,0,0.0,2023-12
28.7,76.9,0,0.0,2023-12
28.7,77.0,0,0.0,2023-12
28.7,77.1,0,0.0,2023-12
28.7,77.2,0,0.0,2023-12
28.7,77.3,0,0.0,2023-12
28.7,77.5,0,0.0,2023-12
28.5,76.7,0,0.0,2023-12
28.5,76.8,0,0.0,2023-12
28.5,76.8,0,0.0,2023-12
28.5,76.9,0,0.0,2023-12
28.5,77.0,0,0.0,2023-12
28.5,77.1,0,0.0,2023-12
28.5,77.2,0,0.0,2023-12
28.5,77.3,0,0.0,2023-12
28.5,77.5,0,0.0,2023-12
28.4,76.7,0,0.0,2023-12
28.4,76.8,0,0.0,2023-12
28.4,76.8,0,0.0,2023-12
28.4,76.9,0,0.0,2023-12
28.4,77.0,0,0.0,2023-12
28.4,77.1,0,0.0,2023-12
28.4,77.2,0,0.0,2023-12
28.4,77.3,0,0.0,2023-12
28.4,77.5,0,0.0,2023-12
28.3,76.7,0,0.0,2023-12
28.3,76.8,0,0.0,2023-12
28.3,76.8,0,0.0,2023-12
28.3,76.9,0,0.0,2023-12
28.3,77.0,0,0.0,2023-12
28.3,77.1,0,0.0,2023-12
28.3,77.2,0,0.0,2023-12
28.3,77.3,0,0.0,2023-12
28.3,77.5,0,0.0,2023-12
28.3,76.7,0,0.0,2023-12
28.3,76.8,0,0.0,2023-12
28.3,76.8,0,0.0,2023-12
28.3,76.9,0,0.0,2023-12
28.3,77.0,0,0.0,2023-12
28.3,77.1,0,0.0,2023-12
28.3,77.2,0,0.0,2023-12
28.3,77.3,0,0.0,2023-12
28.3,77.5,0,0.0,2023-12
